# Configuracion:
# Concentracion g/m^3_=_10000.0
# C_Vs_to_Am_M_A/Vsm_=_237624902134.5593
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_ref_Hz_=_268374.983397894
# 
Resultados:
# tau_s_=_(4.80+/-1.55)e+00
# dphi_rad_=_6.29+/-0.00
# SAR_W/g_=_32.54+/-10.95
# Hc_kA/m_=_0.50+/-0.15
# Mr_A/m_=_5.77+/-1.81
# Suceptibilidad_a_M=0_=_0.0037+/-0.0054
Nombre_archivo	Time_m_(s)	Temperatura_(ºC)	Mr_(A/m)	Hc_(kA/m)	Campo_max_(A/m)	Mag_max_(A/m)	f0	mag0	dphi0	SAR_(W/g)	Tau_(ns)	N	xi_M_0
265kHz_150dA_100Mss_bobN1Pmag0010.txt		20.00	5.87	0.54	57041.50	615.09	2.683963e+05	9.774127e+00	6.292130e+00	33.30	5.304285	4471	0.000e+00
265kHz_150dA_100Mss_bobN1Pmag0011.txt		20.00	2.46	0.23	57041.50	617.16	2.683963e+05	9.807276e+00	6.286553e+00	12.58	1.996985	4471	1.081e-02
265kHz_150dA_100Mss_bobN1Pmag0012.txt		20.00	2.42	0.22	57041.50	618.57	2.683963e+05	9.829666e+00	6.286516e+00	12.47	1.975405	4471	1.084e-02
265kHz_150dA_100Mss_bobN1Pmag0013.txt		20.00	4.45	0.41	57041.50	613.19	2.683963e+05	9.743940e+00	6.289857e+00	24.77	3.956600	4471	0.000e+00
265kHz_150dA_100Mss_bobN1Pmag0014.txt		20.00	3.64	0.33	57041.50	626.24	2.683963e+05	9.951384e+00	6.288403e+00	19.78	3.094218	4471	0.000e+00
265kHz_150dA_100Mss_bobN1Pmag0015.txt		20.00	5.03	0.46	57041.50	618.10	2.683963e+05	9.821964e+00	6.290718e+00	28.19	4.467151	4471	0.000e+00
265kHz_150dA_100Mss_bobN1Pmag0016.txt		20.00	3.96	0.36	57041.50	624.03	2.683963e+05	9.916266e+00	6.288943e+00	21.75	3.414439	4471	1.092e-02
265kHz_150dA_100Mss_bobN1Pmag0017.txt		20.00	3.93	0.35	57041.50	634.74	2.683963e+05	1.008634e+01	6.288786e+00	21.52	3.321279	4471	0.000e+00
265kHz_150dA_100Mss_bobN1Pmag0018.txt		20.00	5.85	0.53	57041.50	624.71	2.683963e+05	9.926980e+00	6.291947e+00	33.14	5.196327	4471	0.000e+00
265kHz_150dA_100Mss_bobN1Pmag0019.txt		20.00	3.40	0.31	57041.50	626.71	2.683963e+05	9.958955e+00	6.288017e+00	18.33	2.865556	4471	1.097e-02
265kHz_150dA_100Mss_bobN1Pmag0020.txt		20.00	6.02	0.56	57041.50	615.33	2.683963e+05	9.777941e+00	6.292374e+00	34.23	5.449455	4471	0.000e+00
265kHz_150dA_100Mss_bobN1Pmag0021.txt		20.00	4.81	0.44	57041.50	619.26	2.683963e+05	9.840508e+00	6.290346e+00	26.84	4.246351	4471	0.000e+00
265kHz_150dA_100Mss_bobN1Pmag0022.txt		20.00	2.27	0.21	57041.50	630.28	2.683963e+05	1.001566e+01	6.286179e+00	11.42	1.775078	4471	1.104e-02
265kHz_150dA_100Mss_bobN1Pmag0023.txt		20.00	4.44	0.40	57041.50	630.14	2.683963e+05	1.001339e+01	6.289656e+00	24.68	3.837278	4471	1.103e-02
265kHz_150dA_100Mss_bobN1Pmag0024.txt		20.00	6.98	0.62	57041.50	638.21	2.683963e+05	1.014154e+01	6.293515e+00	39.91	6.126181	4471	0.000e+00
265kHz_150dA_100Mss_bobN1Pmag0025.txt		20.00	6.42	0.59	57041.50	625.09	2.683963e+05	9.933058e+00	6.292838e+00	36.53	5.724238	4471	0.000e+00
265kHz_150dA_100Mss_bobN1Pmag0026.txt		20.00	3.69	0.33	57041.50	629.60	2.683963e+05	1.000476e+01	6.288434e+00	20.01	3.112788	4471	1.103e-02
265kHz_150dA_100Mss_bobN1Pmag0027.txt		20.00	6.14	0.54	57041.50	644.02	2.683363e+05	1.023633e+01	6.292138e+00	34.90	5.309314	4472	1.128e-02
265kHz_150dA_100Mss_bobN1Pmag0028.txt		20.00	7.39	0.64	57041.50	654.57	2.683963e+05	1.040144e+01	6.293862e+00	42.31	6.331879	4471	0.000e+00
265kHz_150dA_100Mss_bobN1Pmag0029.txt		20.00	7.30	0.64	57041.50	653.02	2.683963e+05	1.037691e+01	6.293765e+00	41.82	6.274460	4471	0.000e+00
265kHz_150dA_100Mss_bobN1Pmag0030.txt		20.00	6.43	0.55	57041.50	670.17	2.683963e+05	1.064936e+01	6.292187e+00	36.52	5.338139	4471	0.000e+00
265kHz_150dA_100Mss_bobN1Pmag0031.txt		20.00	6.01	0.51	57041.50	669.02	2.683363e+05	1.063357e+01	6.291627e+00	34.19	5.006494	4472	0.000e+00
265kHz_150dA_100Mss_bobN1Pmag0032.txt		20.00	8.14	0.70	57041.50	661.99	2.683363e+05	1.052185e+01	6.294886e+00	46.89	6.939216	4472	0.000e+00
265kHz_150dA_100Mss_bobN1Pmag0033.txt		20.00	5.83	0.51	57041.50	650.95	2.683963e+05	1.034405e+01	6.291507e+00	32.79	4.935098	4471	0.000e+00
265kHz_150dA_100Mss_bobN1Pmag0034.txt		20.00	3.55	0.31	57041.50	652.03	2.683963e+05	1.036137e+01	6.288039e+00	19.16	2.878201	4471	1.142e-02
265kHz_150dA_100Mss_bobN1Pmag0035.txt		20.00	3.15	0.28	57041.50	642.34	2.683963e+05	1.020745e+01	6.287501e+00	16.78	2.559237	4471	1.125e-02
265kHz_150dA_100Mss_bobN1Pmag0036.txt		20.00	7.63	0.67	57041.50	646.43	2.683963e+05	1.027220e+01	6.294365e+00	43.75	6.630194	4471	0.000e+00
265kHz_150dA_100Mss_bobN1Pmag0037.txt		20.00	5.90	0.52	57041.50	643.30	2.683963e+05	1.022244e+01	6.291735e+00	33.30	5.070542	4471	0.000e+00
265kHz_150dA_100Mss_bobN1Pmag0038.txt		20.00	5.18	0.46	57041.50	639.74	2.683363e+05	1.016821e+01	6.290729e+00	29.22	4.473962	4472	1.120e-02
265kHz_150dA_100Mss_bobN1Pmag0039.txt		20.00	6.81	0.60	57041.50	650.99	2.683963e+05	1.034456e+01	6.293054e+00	38.89	5.852328	4471	0.000e+00
265kHz_150dA_100Mss_bobN1Pmag0040.txt		20.00	1.57	0.14	57041.50	647.31	2.683963e+05	1.028647e+01	6.285023e+00	7.20	1.089915	4471	1.133e-02
