# 240930_12:41:36.430313
t	CH1	CH2
0.000000e+00	-5.145748e-03	1.966478e-01
1.000000e-08	-5.376157e-03	1.620530e-01
2.000000e-08	-4.664396e-03	1.305213e-01
3.000000e-08	-5.788673e-03	9.041678e-02
4.000000e-08	-4.816321e-03	6.088473e-02
5.000000e-08	-5.031043e-03	2.611324e-02
6.000000e-08	-4.423720e-03	-8.373709e-03
7.000000e-08	-3.455888e-03	-3.585200e-02
8.000000e-08	4.790678e-03	-7.262632e-02
9.000000e-08	3.628416e-03	-1.000023e-01
1.000000e-07	-4.251925e-03	-1.354390e-01
1.100000e-07	-2.031420e-04	-1.672605e-01
1.200000e-07	-2.478459e-03	-1.925217e-01
1.300000e-07	-9.976920e-03	-2.232477e-01
1.400000e-07	8.899641e-03	-2.494286e-01
1.500000e-07	5.443721e-02	-2.757391e-01
1.600000e-07	1.001853e-01	-3.294111e-01
1.700000e-07	-1.246765e-01	-3.755862e-01
1.800000e-07	3.019254e-02	-4.081630e-01
1.900000e-07	-4.682861e-02	-4.345688e-01
2.000000e-07	-5.909277e-02	-4.627299e-01
2.100000e-07	-1.403533e-01	-4.848345e-01
2.200000e-07	1.703454e-01	-4.973058e-01
2.300000e-07	-1.289683e-02	-5.515211e-01
2.400000e-07	-4.706853e-02	-5.659053e-01
2.500000e-07	1.763112e-01	-6.040475e-01
2.600000e-07	-2.066880e-01	-6.616672e-01
2.700000e-07	1.576799e-01	-6.606868e-01
2.800000e-07	-1.181963e-01	-7.321609e-01
2.900000e-07	-7.849970e-03	-7.289395e-01
3.000000e-07	1.108324e-01	-7.751157e-01
3.100000e-07	-1.529203e-01	-8.192088e-01
3.200000e-07	2.020809e-01	-8.196244e-01
3.300000e-07	-1.385355e-01	-8.869399e-01
3.400000e-07	6.009945e-02	-8.889520e-01
3.500000e-07	-3.732688e-02	-9.354612e-01
3.600000e-07	-5.828293e-02	-9.624112e-01
3.700000e-07	1.306658e-01	-9.824758e-01
3.800000e-07	-1.490659e-01	-1.025617e+00
3.900000e-07	1.705432e-01	-1.028647e+00
4.000000e-07	-1.055610e-01	-1.081469e+00
4.100000e-07	4.936271e-02	-1.091840e+00
4.200000e-07	-3.641723e-02	-1.128882e+00
4.300000e-07	-2.570146e-02	-1.154837e+00
4.400000e-07	4.716576e-02	-1.178098e+00
4.500000e-07	-5.264456e-02	-1.212885e+00
4.600000e-07	8.690821e-02	-1.223529e+00
4.700000e-07	-7.171873e-02	-1.261306e+00
4.800000e-07	5.213342e-02	-1.276943e+00
4.900000e-07	-5.573321e-02	-1.304571e+00
5.000000e-07	2.716441e-02	-1.324527e+00
5.100000e-07	-2.344096e-02	-1.350669e+00
5.200000e-07	9.823513e-03	-1.370425e+00
5.300000e-07	8.491148e-03	-1.390717e+00
5.400000e-07	-6.992318e-04	-1.408725e+00
5.500000e-07	7.965527e-03	-1.436585e+00
5.600000e-07	-2.262625e-02	-1.461200e+00
5.700000e-07	8.477697e-03	-1.478846e+00
5.800000e-07	-1.951290e-02	-1.499146e+00
5.900000e-07	1.490750e-02	-1.515838e+00
6.000000e-07	-8.852350e-03	-1.533682e+00
6.100000e-07	9.458853e-03	-1.549730e+00
6.200000e-07	-8.455462e-03	-1.569577e+00
6.300000e-07	4.298821e-03	-1.591526e+00
6.400000e-07	-8.828185e-03	-1.605199e+00
6.500000e-07	-2.092388e-03	-1.618748e+00
6.600000e-07	-3.615765e-03	-1.633675e+00
6.700000e-07	3.966345e-03	-1.649424e+00
6.800000e-07	-1.091230e-03	-1.663046e+00
6.900000e-07	-1.440594e-03	-1.677790e+00
7.000000e-07	-5.153453e-03	-1.687301e+00
7.100000e-07	-2.705738e-03	-1.699740e+00
7.200000e-07	-3.004052e-03	-1.713522e+00
7.300000e-07	-1.791903e-03	-1.718993e+00
7.400000e-07	-2.742630e-03	-1.727364e+00
7.500000e-07	-4.008786e-04	-1.737785e+00
7.600000e-07	-5.548424e-05	-1.744098e+00
7.700000e-07	-2.553210e-03	-1.753532e+00
7.800000e-07	-3.802888e-03	-1.758730e+00
7.900000e-07	-4.677136e-03	-1.766148e+00
8.000000e-07	8.054033e-04	-1.772199e+00
8.100000e-07	-1.640570e-03	-1.777627e+00
8.200000e-07	-6.576623e-04	-1.775735e+00
8.300000e-07	-4.356135e-03	-1.782993e+00
8.400000e-07	-2.107911e-03	-1.787219e+00
8.500000e-07	-3.029933e-03	-1.794257e+00
8.600000e-07	-3.279206e-03	-1.793319e+00
8.700000e-07	-2.950433e-03	-1.798527e+00
8.800000e-07	-2.955730e-03	-1.804628e+00
8.900000e-07	-9.402315e-05	-1.800933e+00
9.000000e-07	-3.141444e-03	-1.804714e+00
9.100000e-07	-3.483192e-03	-1.801475e+00
9.200000e-07	-3.931519e-03	-1.797570e+00
9.300000e-07	-1.854934e-03	-1.798509e+00
9.400000e-07	-1.502757e-04	-1.793417e+00
9.500000e-07	-1.314154e-03	-1.784946e+00
9.600000e-07	-2.628660e-03	-1.780993e+00
9.700000e-07	-1.818481e-03	-1.777770e+00
9.800000e-07	-2.135638e-03	-1.771512e+00
9.900000e-07	-2.267155e-03	-1.768149e+00
1.000000e-06	-4.033238e-03	-1.753580e+00
1.010000e-06	-2.334133e-03	-1.749169e+00
1.020000e-06	-1.582618e-03	-1.737941e+00
1.030000e-06	-1.412845e-04	-1.731417e+00
1.040000e-06	-2.320173e-03	-1.720051e+00
1.050000e-06	-2.680728e-03	-1.712615e+00
1.060000e-06	-1.295571e-03	-1.700138e+00
1.070000e-06	-2.570994e-03	-1.694310e+00
1.080000e-06	-1.653210e-03	-1.679930e+00
1.090000e-06	-2.208441e-03	-1.665364e+00
1.100000e-06	-2.002722e-03	-1.654580e+00
1.110000e-06	-1.456936e-03	-1.640735e+00
1.120000e-06	-2.574207e-03	-1.620906e+00
1.130000e-06	-3.430942e-03	-1.610414e+00
1.140000e-06	-3.186552e-03	-1.596624e+00
1.150000e-06	-2.306849e-03	-1.577725e+00
1.160000e-06	-1.590422e-03	-1.561893e+00
1.170000e-06	-1.546215e-03	-1.542096e+00
1.180000e-06	-2.700522e-03	-1.530314e+00
1.190000e-06	-3.594689e-03	-1.510409e+00
1.200000e-06	-3.094290e-03	-1.491677e+00
1.210000e-06	-2.961473e-03	-1.469730e+00
1.220000e-06	-3.135468e-03	-1.455530e+00
1.230000e-06	-3.176265e-03	-1.438577e+00
1.240000e-06	-1.850831e-03	-1.412580e+00
1.250000e-06	-1.601290e-03	-1.389574e+00
1.260000e-06	-2.352865e-03	-1.369367e+00
1.270000e-06	-2.511231e-03	-1.347321e+00
1.280000e-06	-3.146447e-03	-1.325211e+00
1.290000e-06	-2.818544e-03	-1.300958e+00
1.300000e-06	-2.626743e-03	-1.277878e+00
1.310000e-06	-2.987580e-03	-1.253682e+00
1.320000e-06	-3.090331e-03	-1.223424e+00
1.330000e-06	-3.225034e-03	-1.202209e+00
1.340000e-06	-3.621269e-03	-1.175643e+00
1.350000e-06	-3.416835e-03	-1.144212e+00
1.360000e-06	-3.258598e-03	-1.110843e+00
1.370000e-06	-2.826191e-03	-1.087425e+00
1.380000e-06	-3.690224e-03	-1.062219e+00
1.390000e-06	-3.955022e-03	-1.038843e+00
1.400000e-06	-3.442796e-03	-1.005572e+00
1.410000e-06	-3.438500e-03	-9.783135e-01
1.420000e-06	-3.432764e-03	-9.477352e-01
1.430000e-06	-3.768038e-03	-9.215314e-01
1.440000e-06	-3.666705e-03	-8.961052e-01
1.450000e-06	-3.533035e-03	-8.666799e-01
1.460000e-06	-3.940660e-03	-8.351560e-01
1.470000e-06	-3.167565e-03	-8.078323e-01
1.480000e-06	-3.881404e-03	-7.740980e-01
1.490000e-06	-3.650993e-03	-7.396771e-01
1.500000e-06	-3.944504e-03	-7.140504e-01
1.510000e-06	-3.558527e-03	-6.795693e-01
1.520000e-06	-3.904638e-03	-6.508921e-01
1.530000e-06	-5.398831e-03	-6.194666e-01
1.540000e-06	-3.084312e-03	-5.898427e-01
1.550000e-06	-4.405573e-03	-5.531584e-01
1.560000e-06	-1.127848e-03	-5.165243e-01
1.570000e-06	-3.908835e-03	-4.868723e-01
1.580000e-06	-2.398740e-03	-4.500958e-01
1.590000e-06	-3.372130e-03	-4.248698e-01
1.600000e-06	-1.842615e-03	-3.891952e-01
1.610000e-06	-5.036684e-03	-3.543694e-01
1.620000e-06	-3.791542e-03	-3.228949e-01
1.630000e-06	-4.901789e-03	-2.883558e-01
1.640000e-06	-3.152011e-03	-2.535217e-01
1.650000e-06	-2.665629e-03	-2.230477e-01
1.660000e-06	-2.744060e-03	-1.873559e-01
1.670000e-06	-2.012119e-03	-1.577743e-01
1.680000e-06	-2.778619e-03	-1.156821e-01
1.690000e-06	-3.392470e-03	-8.304801e-02
1.700000e-06	-4.329224e-03	-4.911853e-02
1.710000e-06	-3.593136e-03	-1.864472e-02
1.720000e-06	-2.621387e-03	1.584185e-02
1.730000e-06	5.063693e-03	4.857882e-02
1.740000e-06	1.262160e-02	7.774450e-02
1.750000e-06	-2.960755e-03	1.104312e-01
1.760000e-06	1.163407e-02	1.420554e-01
1.770000e-06	-1.190094e-03	1.726412e-01
1.780000e-06	2.299863e-03	2.042128e-01
1.790000e-06	-5.582442e-03	2.295184e-01
1.800000e-06	1.953245e-02	2.588449e-01
1.810000e-06	5.311808e-02	3.008470e-01
1.820000e-06	8.386943e-02	3.505634e-01
1.830000e-06	-1.071113e-01	3.775861e-01
1.840000e-06	-6.313915e-03	4.029450e-01
1.850000e-06	-2.638603e-02	4.293758e-01
1.860000e-06	-3.943424e-02	4.606842e-01
1.870000e-06	-1.086040e-01	4.856896e-01
1.880000e-06	1.585153e-02	5.175236e-01
1.890000e-06	1.639785e-01	5.667950e-01
1.900000e-06	-8.475794e-02	5.872503e-01
1.910000e-06	5.029185e-02	6.196400e-01
1.920000e-06	6.638437e-02	6.502079e-01
1.930000e-06	-1.379052e-01	6.671075e-01
1.940000e-06	8.495573e-02	7.155187e-01
1.950000e-06	-1.123092e-01	7.384084e-01
1.960000e-06	5.853286e-02	7.868421e-01
1.970000e-06	5.072401e-03	8.173026e-01
1.980000e-06	6.450041e-03	8.459926e-01
1.990000e-06	4.908193e-02	8.795112e-01
2.000000e-06	-8.285680e-02	8.930127e-01
2.010000e-06	4.559425e-02	9.311585e-01
2.020000e-06	-6.444631e-02	9.582025e-01
2.030000e-06	5.468364e-02	9.970028e-01
2.040000e-06	-1.716519e-02	1.020531e+00
2.050000e-06	-8.723438e-03	1.052587e+00
2.060000e-06	5.936076e-02	1.076153e+00
2.070000e-06	-5.156197e-02	1.098169e+00
2.080000e-06	1.635687e-02	1.127685e+00
2.090000e-06	-5.136531e-02	1.154880e+00
2.100000e-06	4.073423e-02	1.183574e+00
2.110000e-06	-1.472659e-02	1.208787e+00
2.120000e-06	2.298982e-02	1.234853e+00
2.130000e-06	-3.394971e-03	1.256250e+00
2.140000e-06	-1.406624e-02	1.274108e+00
2.150000e-06	1.021411e-02	1.298118e+00
2.160000e-06	-2.498979e-02	1.323378e+00
2.170000e-06	3.300500e-03	1.349632e+00
2.180000e-06	-1.877835e-02	1.368580e+00
2.190000e-06	2.865651e-02	1.396945e+00
2.200000e-06	-1.288683e-03	1.414829e+00
2.210000e-06	5.113129e-03	1.443998e+00
2.220000e-06	-1.791318e-02	1.456843e+00
2.230000e-06	-9.852246e-04	1.477103e+00
2.240000e-06	-1.267304e-03	1.492903e+00
2.250000e-06	-6.816747e-03	1.517843e+00
2.260000e-06	-2.640659e-04	1.534582e+00
2.270000e-06	-3.115500e-03	1.553675e+00
2.280000e-06	1.159557e-02	1.565313e+00
2.290000e-06	-4.193382e-03	1.586154e+00
2.300000e-06	-1.035568e-03	1.604153e+00
2.310000e-06	-1.260134e-02	1.618680e+00
2.320000e-06	1.779768e-03	1.634569e+00
2.330000e-06	2.293441e-03	1.645103e+00
2.340000e-06	-8.286575e-04	1.658840e+00
2.350000e-06	-3.799142e-03	1.672362e+00
2.360000e-06	-3.408787e-03	1.685998e+00
2.370000e-06	4.456536e-03	1.694625e+00
2.380000e-06	-3.783619e-03	1.701056e+00
