# Temperatura_=_20.0
# Concentracion g/m^3_=_10000.0
# C_Vs_to_Am_M_A/Vsm_=_237624902134.5593
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_Hz_=_302208.6225540751
# Promedio de 80 ciclos

Tiempo_(s)	Campo_(V.s)	Magnetizacion_(V.s)	Campo_(kA/m)	Magnetizacion_(A/m)
0.000000e+00	-9.267681e-10	-2.655115e-09	-5.696221e+01	-6.258119e+02
1.000000e-08	-9.263867e-10	-2.650994e-09	-5.693876e+01	-6.257184e+02
2.000000e-08	-9.256998e-10	-2.650747e-09	-5.689654e+01	-6.253994e+02
3.000000e-08	-9.247059e-10	-2.647737e-09	-5.683545e+01	-6.248548e+02
4.000000e-08	-9.233933e-10	-2.644066e-09	-5.675477e+01	-6.240850e+02
5.000000e-08	-9.217647e-10	-2.640682e-09	-5.665468e+01	-6.230902e+02
6.000000e-08	-9.198318e-10	-2.634193e-09	-5.653587e+01	-6.218706e+02
7.000000e-08	-9.176268e-10	-2.623750e-09	-5.640034e+01	-6.204269e+02
8.000000e-08	-9.151318e-10	-2.610886e-09	-5.624699e+01	-6.187595e+02
9.000000e-08	-9.122787e-10	-2.604389e-09	-5.607162e+01	-6.168690e+02
1.000000e-07	-9.090054e-10	-2.626401e-09	-5.587044e+01	-6.147560e+02
1.100000e-07	-9.053695e-10	-2.613956e-09	-5.564696e+01	-6.124214e+02
1.200000e-07	-9.014592e-10	-2.574651e-09	-5.540662e+01	-6.098660e+02
1.300000e-07	-8.972811e-10	-2.568275e-09	-5.514981e+01	-6.070907e+02
1.400000e-07	-8.928240e-10	-2.559363e-09	-5.487587e+01	-6.040965e+02
1.500000e-07	-8.881065e-10	-2.526560e-09	-5.458591e+01	-6.008845e+02
1.600000e-07	-8.831046e-10	-2.478232e-09	-5.427848e+01	-5.974558e+02
1.700000e-07	-8.777173e-10	-2.498469e-09	-5.394735e+01	-5.938118e+02
1.800000e-07	-8.719812e-10	-2.518212e-09	-5.359479e+01	-5.899536e+02
1.900000e-07	-8.659448e-10	-2.457008e-09	-5.322378e+01	-5.858827e+02
2.000000e-07	-8.596050e-10	-2.462459e-09	-5.283411e+01	-5.816005e+02
2.100000e-07	-8.530203e-10	-2.431216e-09	-5.242939e+01	-5.771087e+02
2.200000e-07	-8.461171e-10	-2.394614e-09	-5.200510e+01	-5.724087e+02
2.300000e-07	-8.388713e-10	-2.389302e-09	-5.155974e+01	-5.675024e+02
2.400000e-07	-8.312751e-10	-2.341371e-09	-5.109286e+01	-5.623915e+02
2.500000e-07	-8.233144e-10	-2.344365e-09	-5.060357e+01	-5.570778e+02
2.600000e-07	-8.150511e-10	-2.318615e-09	-5.009568e+01	-5.515632e+02
2.700000e-07	-8.064903e-10	-2.303687e-09	-4.956950e+01	-5.458497e+02
2.800000e-07	-7.976827e-10	-2.273860e-09	-4.902815e+01	-5.399394e+02
2.900000e-07	-7.886019e-10	-2.236361e-09	-4.847001e+01	-5.338345e+02
3.000000e-07	-7.792288e-10	-2.208058e-09	-4.789391e+01	-5.275370e+02
3.100000e-07	-7.695488e-10	-2.172547e-09	-4.729894e+01	-5.210494e+02
3.200000e-07	-7.595449e-10	-2.165862e-09	-4.668407e+01	-5.143738e+02
3.300000e-07	-7.492771e-10	-2.122468e-09	-4.605298e+01	-5.075128e+02
3.400000e-07	-7.387490e-10	-2.101119e-09	-4.540588e+01	-5.004688e+02
3.500000e-07	-7.279689e-10	-2.079413e-09	-4.474330e+01	-4.932444e+02
3.600000e-07	-7.169255e-10	-2.036866e-09	-4.406453e+01	-4.858421e+02
3.700000e-07	-7.056074e-10	-1.998151e-09	-4.336889e+01	-4.782646e+02
3.800000e-07	-6.940117e-10	-1.959198e-09	-4.265618e+01	-4.705146e+02
3.900000e-07	-6.821397e-10	-1.932585e-09	-4.192648e+01	-4.625950e+02
4.000000e-07	-6.700165e-10	-1.898028e-09	-4.118135e+01	-4.545086e+02
4.100000e-07	-6.576582e-10	-1.869900e-09	-4.042176e+01	-4.462583e+02
4.200000e-07	-6.450896e-10	-1.832446e-09	-3.964926e+01	-4.378471e+02
4.300000e-07	-6.323061e-10	-1.795259e-09	-3.886354e+01	-4.292780e+02
4.400000e-07	-6.192936e-10	-1.757184e-09	-3.806375e+01	-4.205541e+02
4.500000e-07	-6.060446e-10	-1.713753e-09	-3.724942e+01	-4.116786e+02
4.600000e-07	-5.925691e-10	-1.671309e-09	-3.642117e+01	-4.026546e+02
4.700000e-07	-5.788802e-10	-1.630403e-09	-3.557981e+01	-3.934854e+02
4.800000e-07	-5.649787e-10	-1.594948e-09	-3.472537e+01	-3.841743e+02
4.900000e-07	-5.508508e-10	-1.557207e-09	-3.385702e+01	-3.747247e+02
5.000000e-07	-5.364994e-10	-1.515337e-09	-3.297495e+01	-3.651400e+02
5.100000e-07	-5.219499e-10	-1.471317e-09	-3.208068e+01	-3.554235e+02
5.200000e-07	-5.072131e-10	-1.429870e-09	-3.117491e+01	-3.455790e+02
5.300000e-07	-4.922973e-10	-1.385867e-09	-3.025813e+01	-3.356098e+02
5.400000e-07	-4.772039e-10	-1.340338e-09	-2.933044e+01	-3.255195e+02
5.500000e-07	-4.619366e-10	-1.295316e-09	-2.839206e+01	-3.153119e+02
5.600000e-07	-4.464959e-10	-1.252505e-09	-2.744302e+01	-3.049905e+02
5.700000e-07	-4.308872e-10	-1.208459e-09	-2.648366e+01	-2.945592e+02
5.800000e-07	-4.151124e-10	-1.162323e-09	-2.551409e+01	-2.840217e+02
5.900000e-07	-3.991862e-10	-1.113890e-09	-2.453521e+01	-2.733817e+02
6.000000e-07	-3.831178e-10	-1.066618e-09	-2.354760e+01	-2.626431e+02
6.100000e-07	-3.669022e-10	-1.022363e-09	-2.255093e+01	-2.518097e+02
6.200000e-07	-3.505473e-10	-9.782805e-10	-2.154570e+01	-2.408856e+02
6.300000e-07	-3.340642e-10	-9.328651e-10	-2.053260e+01	-2.298746e+02
6.400000e-07	-3.174635e-10	-8.841314e-10	-1.951226e+01	-2.187807e+02
6.500000e-07	-3.007488e-10	-8.376887e-10	-1.848492e+01	-2.076078e+02
6.600000e-07	-2.839262e-10	-7.902322e-10	-1.745095e+01	-1.963601e+02
6.700000e-07	-2.670041e-10	-7.403719e-10	-1.641086e+01	-1.850415e+02
6.800000e-07	-2.499930e-10	-6.900456e-10	-1.536530e+01	-1.736562e+02
6.900000e-07	-2.328973e-10	-6.414298e-10	-1.431454e+01	-1.622082e+02
7.000000e-07	-2.157219e-10	-5.941063e-10	-1.325888e+01	-1.507017e+02
7.100000e-07	-1.984787e-10	-5.440643e-10	-1.219906e+01	-1.391409e+02
7.200000e-07	-1.811754e-10	-4.933484e-10	-1.113554e+01	-1.275298e+02
7.300000e-07	-1.638090e-10	-4.413363e-10	-1.006815e+01	-1.158727e+02
7.400000e-07	-1.463762e-10	-3.909502e-10	-8.996669e+00	-1.041738e+02
7.500000e-07	-1.288832e-10	-3.411798e-10	-7.921491e+00	-9.243731e+01
7.600000e-07	-1.113421e-10	-2.919140e-10	-6.843353e+00	-8.066743e+01
7.700000e-07	-9.376780e-11	-2.427680e-10	-5.763180e+00	-6.886843e+01
7.800000e-07	-7.616570e-11	-1.929792e-10	-4.681297e+00	-5.704455e+01
7.900000e-07	-5.853678e-11	-1.463059e-10	-3.597766e+00	-4.520006e+01
8.000000e-07	-4.088490e-11	-9.812046e-11	-2.512825e+00	-3.333923e+01
8.100000e-07	-2.321448e-11	-4.671323e-11	-1.426743e+00	-2.146633e+01
8.200000e-07	-5.532387e-12	5.383771e-12	-3.399451e-01	-9.585644e+00
8.300000e-07	1.215499e-11	5.659883e-11	7.471782e-01	2.298545e+00
8.400000e-07	2.984204e-11	1.069202e-10	1.834281e+00	1.418195e+01
8.500000e-07	4.752205e-11	1.565473e-10	2.920951e+00	2.606030e+01
8.600000e-07	6.518677e-11	2.073293e-10	4.006682e+00	3.792930e+01
8.700000e-07	8.282979e-11	2.584914e-10	5.091079e+00	4.978467e+01
8.800000e-07	1.004495e-10	3.064291e-10	6.174044e+00	6.162215e+01
8.900000e-07	1.180410e-10	3.543722e-10	7.255273e+00	7.343746e+01
9.000000e-07	1.355944e-10	4.053876e-10	8.334166e+00	8.522635e+01
9.100000e-07	1.530989e-10	4.553845e-10	9.410047e+00	9.698457e+01
9.200000e-07	1.705427e-10	5.019705e-10	1.048220e+01	1.087079e+02
9.300000e-07	1.879163e-10	5.492305e-10	1.155004e+01	1.203920e+02
9.400000e-07	2.052178e-10	5.979910e-10	1.261345e+01	1.320328e+02
9.500000e-07	2.224466e-10	6.477049e-10	1.367239e+01	1.436261e+02
9.600000e-07	2.395951e-10	6.962558e-10	1.472639e+01	1.551677e+02
9.700000e-07	2.566545e-10	7.411105e-10	1.577492e+01	1.666533e+02
9.800000e-07	2.736167e-10	7.849962e-10	1.681747e+01	1.780789e+02
9.900000e-07	2.904743e-10	8.315147e-10	1.785359e+01	1.894404e+02
1.000000e-06	3.072255e-10	8.786368e-10	1.888318e+01	2.007337e+02
1.010000e-06	3.238628e-10	9.221761e-10	1.990576e+01	2.119546e+02
1.020000e-06	3.403738e-10	9.673860e-10	2.092057e+01	2.230992e+02
1.030000e-06	3.567556e-10	1.014712e-09	2.192745e+01	2.341634e+02
1.040000e-06	3.730048e-10	1.060811e-09	2.292618e+01	2.451432e+02
1.050000e-06	3.891167e-10	1.104569e-09	2.391647e+01	2.560347e+02
1.060000e-06	4.050909e-10	1.146668e-09	2.489830e+01	2.668340e+02
1.070000e-06	4.209213e-10	1.189327e-09	2.587128e+01	2.775371e+02
1.080000e-06	4.365982e-10	1.234695e-09	2.683484e+01	2.881403e+02
1.090000e-06	4.521153e-10	1.280999e-09	2.778857e+01	2.986396e+02
1.100000e-06	4.674671e-10	1.323916e-09	2.873214e+01	3.090313e+02
1.110000e-06	4.826500e-10	1.364833e-09	2.966533e+01	3.193117e+02
1.120000e-06	4.976603e-10	1.406049e-09	3.058791e+01	3.294770e+02
1.130000e-06	5.124958e-10	1.446974e-09	3.149975e+01	3.395235e+02
1.140000e-06	5.271550e-10	1.484871e-09	3.240075e+01	3.494478e+02
1.150000e-06	5.416296e-10	1.521853e-09	3.329041e+01	3.592461e+02
1.160000e-06	5.559065e-10	1.561932e-09	3.416791e+01	3.689150e+02
1.170000e-06	5.699735e-10	1.604595e-09	3.503251e+01	3.784509e+02
1.180000e-06	5.838265e-10	1.644103e-09	3.588396e+01	3.878505e+02
1.190000e-06	5.974650e-10	1.678670e-09	3.672223e+01	3.971102e+02
1.200000e-06	6.108883e-10	1.712711e-09	3.754727e+01	4.062269e+02
1.210000e-06	6.240930e-10	1.747711e-09	3.835887e+01	4.151972e+02
1.220000e-06	6.370731e-10	1.781941e-09	3.915667e+01	4.240179e+02
1.230000e-06	6.498250e-10	1.814779e-09	3.994044e+01	4.326858e+02
1.240000e-06	6.623463e-10	1.847999e-09	4.071004e+01	4.411978e+02
1.250000e-06	6.746318e-10	1.882248e-09	4.146514e+01	4.495507e+02
1.260000e-06	6.866713e-10	1.916363e-09	4.220513e+01	4.577417e+02
