# Configuracion:
# Concentracion g/m^3_=_47000.0
# C_Vs_to_Am_M_A/Vsm_=_116720831517.84952
# pendiente_HvsI_1/m_=_3716.3
# ordenada_HvsI_A/m_=_1297.0
# frecuencia_ref_Hz_=_238303.18250463466
# 
Resultados:
# tau_s_=_(6.31+/-0.15)e+01
# dphi_rad_=_6.38+/-0.00
# SAR_W/g_=_153.77+/-3.76
# Hc_kA/m_=_7.29+/-0.13
# Mr_A/m_=_399.76+/-5.94
# Suceptibilidad_a_M=0_=_0.0614+/-0.0004
Nombre_archivo	Time_m_(s)	Temperatura_(ºC)	Mr_(A/m)	Hc_(kA/m)	Campo_max_(A/m)	Mag_max_(A/m)	f0	mag0	dphi0	SAR_(W/g)	Tau_(ns)	N	xi_M_0
238kHz_150dA_100Mss_NE5X0010.txt		20.00	407.82	7.50	57041.50	1227.87	2.383222e+05	3.863118e+01	6.379717e+00	157.96	64.673635	4196	6.120e-02
238kHz_150dA_100Mss_NE5X0011.txt		20.00	410.44	7.48	57041.50	1228.20	2.382654e+05	3.873355e+01	6.381230e+00	160.82	65.694385	4197	6.218e-02
238kHz_150dA_100Mss_NE5X0012.txt		20.00	408.52	7.49	57041.50	1227.27	2.382654e+05	3.866250e+01	6.380890e+00	159.97	65.464602	4197	6.174e-02
238kHz_150dA_100Mss_NE5X0013.txt		20.00	407.10	7.46	57041.50	1223.96	2.382654e+05	3.857549e+01	6.380146e+00	158.39	64.963086	4197	6.134e-02
238kHz_150dA_100Mss_NE5X0014.txt		20.00	403.31	7.37	57041.50	1227.33	2.383222e+05	3.860555e+01	6.376759e+00	153.03	62.680629	4196	6.127e-02
238kHz_150dA_100Mss_NE5X0015.txt		20.00	407.68	7.46	57041.50	1218.72	2.382654e+05	3.845210e+01	6.381204e+00	159.60	65.676687	4197	6.181e-02
238kHz_150dA_100Mss_NE5X0016.txt		20.00	404.36	7.39	57041.50	1222.17	2.382654e+05	3.852608e+01	6.379037e+00	156.39	64.215693	4197	6.140e-02
238kHz_150dA_100Mss_NE5X0017.txt		20.00	406.46	7.41	57041.50	1225.67	2.383222e+05	3.863074e+01	6.380232e+00	158.80	65.021289	4196	6.169e-02
238kHz_150dA_100Mss_NE5X0018.txt		20.00	402.51	7.35	57041.50	1224.82	2.383222e+05	3.853503e+01	6.377576e+00	154.08	63.231042	4196	6.105e-02
238kHz_150dA_100Mss_NE5X0019.txt		20.00	400.41	7.32	57041.50	1220.66	2.382654e+05	3.843496e+01	6.377191e+00	153.02	62.971420	4197	6.142e-02
238kHz_150dA_100Mss_NE5X0020.txt		20.00	399.04	7.35	57041.50	1212.18	2.383222e+05	3.819048e+01	6.378036e+00	153.45	63.540542	4196	6.059e-02
238kHz_150dA_100Mss_NE5X0021.txt		20.00	399.44	7.32	57041.50	1221.06	2.382654e+05	3.846119e+01	6.378047e+00	154.52	63.548252	4197	6.079e-02
238kHz_150dA_100Mss_NE5X0022.txt		20.00	399.89	7.28	57041.50	1218.37	2.382654e+05	3.841297e+01	6.378230e+00	154.62	63.672042	4197	6.121e-02
238kHz_150dA_100Mss_NE5X0023.txt		20.00	398.02	7.26	57041.50	1222.16	2.382654e+05	3.850385e+01	6.377157e+00	153.24	62.948723	4197	6.187e-02
238kHz_150dA_100Mss_NE5X0024.txt		20.00	397.76	7.23	57041.50	1225.92	2.382654e+05	3.860218e+01	6.376460e+00	152.50	62.478854	4197	6.138e-02
238kHz_150dA_100Mss_NE5X0025.txt		20.00	395.46	7.21	57041.50	1224.39	2.383222e+05	3.852794e+01	6.375553e+00	150.76	61.867588	4196	6.124e-02
238kHz_150dA_100Mss_NE5X0026.txt		20.00	395.29	7.15	57041.50	1229.25	2.382654e+05	3.866333e+01	6.374367e+00	149.32	61.069255	4197	6.169e-02
238kHz_150dA_100Mss_NE5X0027.txt		20.00	395.92	7.18	57041.50	1222.99	2.382654e+05	3.852997e+01	6.375924e+00	151.34	62.118383	4197	6.157e-02
238kHz_150dA_100Mss_NE5X0028.txt		20.00	394.19	7.18	57041.50	1224.29	2.382654e+05	3.853373e+01	6.375559e+00	150.76	61.871997	4197	6.129e-02
238kHz_150dA_100Mss_NE5X0029.txt		20.00	391.23	7.14	57041.50	1224.57	2.382654e+05	3.851255e+01	6.374029e+00	148.19	60.841384	4197	6.115e-02
238kHz_150dA_100Mss_NE5X0030.txt		20.00	392.39	7.12	57041.50	1225.39	2.382654e+05	3.857123e+01	6.374505e+00	149.19	61.162160	4197	6.157e-02
238kHz_150dA_100Mss_NE5X0031.txt		20.00	390.96	7.11	57041.50	1226.87	2.383222e+05	3.858269e+01	6.374015e+00	148.47	60.831855	4196	6.145e-02
238kHz_150dA_100Mss_NE5X0032.txt		20.00	392.94	7.10	57041.50	1225.65	2.383222e+05	3.859919e+01	6.374770e+00	149.76	61.340291	4196	6.196e-02
238kHz_150dA_100Mss_NE5X0033.txt		20.00	393.17	7.16	57041.50	1218.25	2.383222e+05	3.841190e+01	6.376839e+00	152.39	62.733761	4196	6.142e-02
