# 240930_14:59:46.720462
t	CH1	CH2
0.000000e+00	-2.226649e-02	5.695797e-01
1.000000e-08	-6.879560e-03	5.899249e-01
2.000000e-08	3.504672e-02	6.138275e-01
3.000000e-08	-4.988256e-03	6.275617e-01
4.000000e-08	1.719273e-02	6.455565e-01
5.000000e-08	-2.206849e-02	6.620923e-01
6.000000e-08	-7.734293e-03	6.793404e-01
7.000000e-08	2.345947e-02	7.010932e-01
8.000000e-08	-6.096694e-02	7.148251e-01
9.000000e-08	2.609287e-02	7.306751e-01
1.000000e-07	1.336944e-02	7.556243e-01
1.100000e-07	8.094485e-03	7.719149e-01
1.200000e-07	1.464532e-03	7.934620e-01
1.300000e-07	-2.883555e-02	8.043538e-01
1.400000e-07	4.958644e-03	8.180556e-01
1.500000e-07	-1.024098e-02	8.368225e-01
1.600000e-07	1.346550e-02	8.506750e-01
1.700000e-07	-1.208115e-02	8.634083e-01
1.800000e-07	8.935929e-04	8.749827e-01
1.900000e-07	1.572902e-02	8.905745e-01
2.000000e-07	-5.309132e-03	9.053695e-01
2.100000e-07	-7.996414e-03	9.213508e-01
2.200000e-07	-1.856072e-02	9.350249e-01
2.300000e-07	5.366731e-03	9.493592e-01
2.400000e-07	9.413714e-03	9.601906e-01
2.500000e-07	-2.035193e-03	9.718928e-01
2.600000e-07	-8.059329e-03	9.896169e-01
2.700000e-07	-3.867908e-03	1.001254e+00
2.800000e-07	5.576392e-03	1.016880e+00
2.900000e-07	-3.991429e-03	1.026407e+00
3.000000e-07	-8.225130e-03	1.040046e+00
3.100000e-07	-5.386688e-03	1.051625e+00
3.200000e-07	3.388580e-03	1.064407e+00
3.300000e-07	8.006532e-03	1.078883e+00
3.400000e-07	-6.165778e-03	1.089615e+00
3.500000e-07	-1.053625e-02	1.100893e+00
3.600000e-07	-3.375121e-03	1.107617e+00
3.700000e-07	4.429686e-03	1.120141e+00
3.800000e-07	-2.151309e-04	1.134523e+00
3.900000e-07	-6.873302e-03	1.146351e+00
4.000000e-07	-2.661303e-03	1.158883e+00
4.100000e-07	1.267883e-03	1.168364e+00
4.200000e-07	1.213215e-03	1.172840e+00
4.300000e-07	-7.505833e-03	1.188452e+00
4.400000e-07	-8.474689e-03	1.194786e+00
4.500000e-07	-9.043198e-04	1.204099e+00
4.600000e-07	3.953131e-03	1.212728e+00
4.700000e-07	-5.261382e-04	1.223302e+00
4.800000e-07	-7.920202e-03	1.225514e+00
4.900000e-07	-4.030726e-03	1.242043e+00
5.000000e-07	6.110985e-04	1.246304e+00
5.100000e-07	4.580637e-04	1.254717e+00
5.200000e-07	-6.319936e-03	1.258893e+00
5.300000e-07	-5.583233e-03	1.265246e+00
5.400000e-07	-7.642799e-05	1.271566e+00
5.500000e-07	1.369629e-03	1.275923e+00
5.600000e-07	-3.117657e-03	1.279141e+00
5.700000e-07	-7.646126e-03	1.287304e+00
5.800000e-07	-2.852703e-03	1.290812e+00
5.900000e-07	-5.592915e-04	1.296623e+00
6.000000e-07	9.968077e-04	1.300146e+00
6.100000e-07	-6.617111e-03	1.305251e+00
6.200000e-07	-5.427521e-03	1.308412e+00
6.300000e-07	-1.955187e-03	1.307620e+00
6.400000e-07	1.128979e-03	1.314820e+00
6.500000e-07	-4.320908e-03	1.319933e+00
6.600000e-07	-6.888800e-03	1.323986e+00
6.700000e-07	-2.165088e-03	1.322841e+00
6.800000e-07	1.734753e-04	1.327154e+00
6.900000e-07	-2.105269e-03	1.327154e+00
7.000000e-07	-6.190797e-03	1.331315e+00
7.100000e-07	-5.158207e-03	1.333414e+00
7.200000e-07	-1.194507e-03	1.333512e+00
7.300000e-07	-1.592603e-03	1.334620e+00
7.400000e-07	-4.075910e-03	1.333619e+00
7.500000e-07	-6.053225e-03	1.331377e+00
7.600000e-07	-2.118847e-03	1.338427e+00
7.700000e-07	-7.227971e-04	1.334465e+00
7.800000e-07	-3.160100e-03	1.336465e+00
7.900000e-07	-5.239984e-03	1.332415e+00
8.000000e-07	-3.688589e-03	1.332509e+00
8.100000e-07	-1.239408e-03	1.330155e+00
8.200000e-07	-1.837822e-03	1.327151e+00
8.300000e-07	-4.359643e-03	1.327999e+00
8.400000e-07	-4.899013e-03	1.318736e+00
8.500000e-07	-3.175518e-03	1.320685e+00
8.600000e-07	-2.831359e-04	1.311620e+00
8.700000e-07	-3.482078e-03	1.311417e+00
8.800000e-07	-4.298237e-03	1.309309e+00
8.900000e-07	-3.984808e-03	1.303898e+00
9.000000e-07	-8.649097e-04	1.298678e+00
9.100000e-07	-2.467224e-03	1.291257e+00
9.200000e-07	-3.790773e-03	1.289312e+00
9.300000e-07	-5.327069e-03	1.283986e+00
9.400000e-07	-3.148041e-03	1.275630e+00
9.500000e-07	-2.891528e-03	1.271324e+00
9.600000e-07	-3.304583e-03	1.265996e+00
9.700000e-07	-4.659373e-03	1.260778e+00
9.800000e-07	-3.910877e-03	1.254477e+00
9.900000e-07	-1.473627e-03	1.249001e+00
